# date	 open	 high	 low	 close	 adjClose	 volume	 5-day moving average close	 20-day moving average close
2021-02-25    14.150    14.390    13.530    14.010    14.010 5837800   526.934   139.731 
2021-02-26    13.950    14.870    13.460    13.890    13.890 7466300   527.022   139.961 
2021-03-01    14.490    15.150    14.050    14.550    14.550 8872600   279.532   140.208 
2021-03-02    14.440    14.900    13.860    14.530    14.530 5477700    14.238   140.465 
2021-03-03    14.530    14.730    13.330    13.870    13.870 5426800    14.170   140.660 
2021-03-04    13.870    14.240    13.210    13.510    13.510 6212000    14.070   140.832 
2021-03-05    13.490    13.550    12.900    13.050    13.050 5988400    13.902   140.920 
2021-03-08    12.720    13.100    11.710    11.840    11.840 9071000    13.360   140.919 
2021-03-09    11.770    12.010    11.160    11.210    11.210 8342000    12.696   140.867 
2021-03-10    11.260    11.640    10.900    11.280    11.280 7265500    12.178   140.779 
2021-03-11  1147.000  1185.000  1092.000  1138.000  1138.000 9900000   237.076   197.024 
2021-03-12    11.300    11.440    10.990    11.330    11.330 4685500   236.732   196.953 
2021-03-15    11.200    11.480    11.070    11.260    11.260 3036600   236.616   196.876 
2021-03-16    11.240    11.300    10.670    10.800    10.800 4553000   236.534   196.788 
2021-03-17  1082.000  1210.000  1081.000  1194.000  1194.000 10120400   473.078   256.538 
2021-03-18    12.080    12.100    11.150    11.370    11.370 6598500   247.752   256.458 
2021-03-19    11.440    11.500    11.080    11.400    11.400 4851000   247.766   256.356 
2021-03-22    11.390    11.460    10.910    11.080    11.080 4091800   247.730   194.310 
2021-03-23    10.970    11.470    10.840    11.150    11.150 4124000   247.800   127.817 
2021-03-24    11.170    11.230    10.550    10.580    10.580 3374100    11.116   127.636 
2021-03-25    10.580    10.830    10.420    10.760    10.760 2961300    10.994   127.473 
2021-03-26    10.850    10.910    10.330    10.780    10.780 2925700    10.870   127.318 
2021-03-29    10.690    10.950    10.520    10.630    10.630 2314600    10.780   127.122 
2021-03-30    10.620    10.940    10.550    10.840    10.840 2163300    10.718   126.937 
2021-03-31    10.860    11.130    10.740    10.990    10.990 5810700    10.800   126.793 
2021-04-01    10.980    11.430    10.610    10.800    10.800 7381200    10.808   126.658 
2021-04-05    10.920    11.240    10.710    11.240    11.240 4212100    10.900   126.567 
2021-04-06    13.000    13.300    12.130    12.870    12.870 18197400    11.348   126.619 
2021-04-07    12.920    13.540    12.650    13.160    13.160 9252400    11.812   126.716 
2021-04-08    13.270    13.450    12.810    13.040    13.040 5180800    12.222   126.804 
2021-04-09    12.960    13.620    12.880    13.130    13.130 4137200    12.688    70.561 
2021-04-12    13.170    13.970    13.060    13.970    13.970 4956100    13.234    70.693 
